SimulationTimeStamp,Received time, Sent time, FlowID, RouteID, SeqNumber, Dest, level, PktType, All latencies, Info Lat, Video Lat, Vibr Lat
0,1606613073703,1606613073669,1,-1,1,[192.168.1.91- 192.168.1.93],application,vibrational,34,,,34,x
34,60,1606613073703,1,-1,3,[192.168.1.91- 192.168.1.93],application,info,26,26,,,x
44,86,1606613073713,1,-1,4,[192.168.1.91- 192.168.1.93],application,video,42,,42,,x
23,111,1606613073692,1,-1,2,[192.168.1.91- 192.168.1.93],application,info,88,88,,,
81,123,1606613073750,1,-1,6,[192.168.1.91- 192.168.1.93],application,vibrational,42,,,42,x
72,150,1606613073741,1,-1,5,[192.168.1.91- 192.168.1.93],application,vibrational,78,,,78,x
101,155,1606613073770,1,-1,8,[192.168.1.91- 192.168.1.93],application,vibrational,54,,,54,x
89,169,1606613073758,1,-1,7,[192.168.1.91- 192.168.1.93],application,info,80,80,,,x
121,186,1606613073790,1,-1,10,[192.168.1.91- 192.168.1.93],application,video,65,,65,,x
111,191,1606613073780,1,-1,9,[192.168.1.91- 192.168.1.93],application,video,80,,80,,x
137,200,1606613073806,1,-1,11,[192.168.1.91- 192.168.1.93],application,vibrational,63,,,63,x
168,202,1606613073837,1,-1,13,[192.168.1.91- 192.168.1.93],application,vibrational,34,,,34,x
178,224,1606613073847,1,-1,14,[192.168.1.91- 192.168.1.93],application,video,46,,46,,x
148,230,1606613073817,1,-1,12,[192.168.1.91- 192.168.1.93],application,vibrational,82,,,82,x
197,261,1606613073866,1,-1,16,[192.168.1.91- 192.168.1.93],application,info,64,64,,,x
205,274,1606613073874,1,-1,17,[192.168.1.91- 192.168.1.93],application,vibrational,69,,,69,
188,288,1606613073857,1,-1,15,[192.168.1.91- 192.168.1.93],application,info,100,100,,,x
214,291,1606613073883,1,-1,18,[192.168.1.91- 192.168.1.93],application,vibrational,77,,,77,x
228,297,1606613073897,1,-1,19,[192.168.1.91- 192.168.1.93],application,vibrational,69,,,69,x
237,321,1606613073906,1,-1,20,[192.168.1.91- 192.168.1.93],application,video,84,,84,,x
250,325,1606613073919,1,-1,21,[192.168.1.91- 192.168.1.93],application,vibrational,75,,,75,x
260,349,1606613073929,1,-1,22,[192.168.1.91- 192.168.1.93],application,info,89,89,,,x
272,355,1606613073941,1,-1,23,[192.168.1.91- 192.168.1.93],application,vibrational,83,,,83,x
292,358,1606613073961,1,-1,25,[192.168.1.91- 192.168.1.93],application,vibrational,66,,,66,x
281,361,1606613073950,1,-1,24,[192.168.1.91- 192.168.1.93],application,info,80,80,,,x
302,367,1606613073971,1,-1,26,[192.168.1.91- 192.168.1.93],application,vibrational,65,,,65,x
312,370,1606613073981,1,-1,27,[192.168.1.91- 192.168.1.93],application,vibrational,58,,,58,x
328,373,1606613073997,1,-1,28,[192.168.1.91- 192.168.1.93],application,video,45,,45,,x
337,381,1606613074006,1,-1,29,[192.168.1.91- 192.168.1.93],application,vibrational,44,,,44,x
347,433,1606613074016,1,-1,30,[192.168.1.91- 192.168.1.93],application,info,86,86,,,x
356,435,1606613074025,1,-1,31,[192.168.1.91- 192.168.1.93],application,vibrational,79,,,79,x
369,444,1606613074038,1,-1,32,[192.168.1.91- 192.168.1.93],application,vibrational,75,,,75,x
380,450,1606613074049,1,-1,33,[192.168.1.91- 192.168.1.93],application,info,70,70,,,x
391,458,1606613074060,1,-1,34,[192.168.1.91- 192.168.1.93],application,info,67,67,,,x
405,474,1606613074074,1,-1,35,[192.168.1.91- 192.168.1.93],application,video,69,,69,,x
