SimulationTimeStamp,Received time, Sent time, FlowID, RouteID, SeqNumber, Dest, level, PktType, All latencies, Info Lat, Video Lat, Vibr Lat
0,1606665491233,1606665491195,1,-1,1,[192.168.1.91- 192.168.1.93],application,vibrational,38,,,38,x
23,57,1606665491218,1,-1,2,[192.168.1.91- 192.168.1.93],application,vibrational,34,,,34,x
35,65,1606665491230,1,-1,3,[192.168.1.91- 192.168.1.93],application,video,30,,30,,x
49,78,1606665491244,1,-1,4,[192.168.1.91- 192.168.1.93],application,info,29,29,,,x
60,94,1606665491255,1,-1,5,[192.168.1.91- 192.168.1.93],application,vibrational,34,,,34,x
72,101,1606665491267,1,-1,6,[192.168.1.91- 192.168.1.93],application,vibrational,29,,,29,x
91,133,1606665491286,1,-1,7,[192.168.1.91- 192.168.1.93],application,vibrational,42,,,42,
101,160,1606665491296,1,-1,8,[192.168.1.91- 192.168.1.93],application,vibrational,59,,,59,x
118,165,1606665491313,1,-1,9,[192.168.1.91- 192.168.1.93],application,vibrational,47,,,47,x
132,168,1606665491327,1,-1,10,[192.168.1.91- 192.168.1.93],application,info,36,36,,,x
144,177,1606665491339,1,-1,11,[192.168.1.91- 192.168.1.93],application,info,33,33,,,x
155,197,1606665491350,1,-1,12,[192.168.1.91- 192.168.1.93],application,video,42,,42,,x
167,200,1606665491362,1,-1,13,[192.168.1.91- 192.168.1.93],application,video,33,,33,,x
181,204,1606665491376,1,-1,14,[192.168.1.91- 192.168.1.93],application,video,23,,23,,x
191,216,1606665491386,1,-1,15,[192.168.1.91- 192.168.1.93],application,info,25,25,,,x
201,231,1606665491396,1,-1,16,[192.168.1.91- 192.168.1.93],application,vibrational,30,,,30,x
225,262,1606665491420,1,-1,17,[192.168.1.91- 192.168.1.93],application,video,37,,37,,x
234,283,1606665491429,1,-1,18,[192.168.1.91- 192.168.1.93],application,vibrational,49,,,49,x
253,293,1606665491448,1,-1,19,[192.168.1.91- 192.168.1.93],application,info,40,40,,,x
263,314,1606665491458,1,-1,20,[192.168.1.91- 192.168.1.93],application,video,51,,51,,x
272,317,1606665491467,1,-1,21,[192.168.1.91- 192.168.1.93],application,vibrational,45,,,45,x
284,346,1606665491479,1,-1,22,[192.168.1.91- 192.168.1.93],application,vibrational,62,,,62,x
294,350,1606665491489,1,-1,23,[192.168.1.91- 192.168.1.93],application,vibrational,56,,,56,x
319,353,1606665491514,1,-1,25,[192.168.1.91- 192.168.1.93],application,info,34,34,,,x
304,356,1606665491499,1,-1,24,[192.168.1.91- 192.168.1.93],application,vibrational,52,,,52,x
337,359,1606665491532,1,-1,27,[192.168.1.91- 192.168.1.93],application,video,22,,22,,x
328,369,1606665491523,1,-1,26,[192.168.1.91- 192.168.1.93],application,info,41,41,,,x
346,382,1606665491541,1,-1,28,[192.168.1.91- 192.168.1.93],application,info,36,36,,,x
358,410,1606665491553,1,-1,29,[192.168.1.91- 192.168.1.93],application,vibrational,52,,,52,
373,411,1606665491568,1,-1,30,[192.168.1.91- 192.168.1.93],application,info,38,38,,,x
388,419,1606665491583,1,-1,31,[192.168.1.91- 192.168.1.93],application,video,31,,31,,x
397,425,1606665491592,1,-1,32,[192.168.1.91- 192.168.1.93],application,info,28,28,,,x
411,446,1606665491606,1,-1,33,[192.168.1.91- 192.168.1.93],application,vibrational,35,,,35,x
420,452,1606665491615,1,-1,34,[192.168.1.91- 192.168.1.93],application,vibrational,32,,,32,x
433,456,1606665491628,1,-1,35,[192.168.1.91- 192.168.1.93],application,info,23,23,,,x
442,472,1606665491637,1,-1,36,[192.168.1.91- 192.168.1.93],application,info,30,30,,,x
452,476,1606665491647,1,-1,37,[192.168.1.91- 192.168.1.93],application,info,24,24,,,
463,501,1606665491658,1,-1,38,[192.168.1.91- 192.168.1.93],application,video,38,,38,,x
478,503,1606665491673,1,-1,39,[192.168.1.91- 192.168.1.93],application,vibrational,25,,,25,x
487,532,1606665491682,1,-1,40,[192.168.1.91- 192.168.1.93],application,info,45,45,,,x
500,542,1606665491695,1,-1,41,[192.168.1.91- 192.168.1.93],application,video,42,,42,,x
511,553,1606665491706,1,-1,42,[192.168.1.91- 192.168.1.93],application,info,42,42,,,x
522,556,1606665491717,1,-1,43,[192.168.1.91- 192.168.1.93],application,vibrational,34,,,34,
534,561,1606665491729,1,-1,44,[192.168.1.91- 192.168.1.93],application,vibrational,27,,,27,x
544,598,1606665491739,1,-1,45,[192.168.1.91- 192.168.1.93],application,info,54,54,,,x
562,608,1606665491757,1,-1,47,[192.168.1.91- 192.168.1.93],application,vibrational,46,,,46,x
571,616,1606665491766,1,-1,48,[192.168.1.91- 192.168.1.93],application,info,45,45,,,x
553,618,1606665491748,1,-1,46,[192.168.1.91- 192.168.1.93],application,info,65,65,,,x
580,619,1606665491775,1,-1,49,[192.168.1.91- 192.168.1.93],application,info,39,39,,,x
593,621,1606665491788,1,-1,50,[192.168.1.91- 192.168.1.93],application,vibrational,28,,,28,x
602,625,1606665491797,1,-1,51,[192.168.1.91- 192.168.1.93],application,vibrational,23,,,23,x
611,630,1606665491806,1,-1,52,[192.168.1.91- 192.168.1.93],application,info,19,19,,,
625,647,1606665491820,1,-1,53,[192.168.1.91- 192.168.1.93],application,video,22,,22,,x
634,654,1606665491829,1,-1,54,[192.168.1.91- 192.168.1.93],application,info,20,20,,,x
647,664,1606665491842,1,-1,55,[192.168.1.91- 192.168.1.93],application,video,17,,17,,x
668,687,1606665491863,1,-1,57,[192.168.1.91- 192.168.1.93],application,info,19,19,,,x
658,689,1606665491853,1,-1,56,[192.168.1.91- 192.168.1.93],application,vibrational,31,,,31,
679,719,1606665491874,1,-1,58,[192.168.1.91- 192.168.1.93],application,vibrational,40,,,40,
688,727,1606665491883,1,-1,59,[192.168.1.91- 192.168.1.93],application,vibrational,39,,,39,x
700,731,1606665491895,1,-1,60,[192.168.1.91- 192.168.1.93],application,vibrational,31,,,31,x
710,744,1606665491905,1,-1,61,[192.168.1.91- 192.168.1.93],application,vibrational,34,,,34,x
725,751,1606665491920,1,-1,62,[192.168.1.91- 192.168.1.93],application,vibrational,26,,,26,
735,778,1606665491930,1,-1,63,[192.168.1.91- 192.168.1.93],application,vibrational,43,,,43,x
746,780,1606665491941,1,-1,64,[192.168.1.91- 192.168.1.93],application,video,34,,34,,x
757,784,1606665491952,1,-1,65,[192.168.1.91- 192.168.1.93],application,vibrational,27,,,27,x
770,788,1606665491965,1,-1,66,[192.168.1.91- 192.168.1.93],application,video,18,,18,,x
783,805,1606665491978,1,-1,67,[192.168.1.91- 192.168.1.93],application,info,22,22,,,x
792,835,1606665491987,1,-1,68,[192.168.1.91- 192.168.1.93],application,vibrational,43,,,43,x
801,839,1606665491996,1,-1,69,[192.168.1.91- 192.168.1.93],application,info,38,38,,,x
816,844,1606665492011,1,-1,70,[192.168.1.91- 192.168.1.93],application,video,28,,28,,x
826,854,1606665492021,1,-1,71,[192.168.1.91- 192.168.1.93],application,vibrational,28,,,28,x
835,880,1606665492030,1,-1,72,[192.168.1.91- 192.168.1.93],application,vibrational,45,,,45,x
846,882,1606665492041,1,-1,73,[192.168.1.91- 192.168.1.93],application,vibrational,36,,,36,x
855,884,1606665492050,1,-1,74,[192.168.1.91- 192.168.1.93],application,video,29,,29,,x
866,890,1606665492061,1,-1,75,[192.168.1.91- 192.168.1.93],application,video,24,,24,,x
875,900,1606665492070,1,-1,76,[192.168.1.91- 192.168.1.93],application,vibrational,25,,,25,x
913,933,1606665492108,1,-1,78,[192.168.1.91- 192.168.1.93],application,vibrational,20,,,20,x
884,935,1606665492079,1,-1,77,[192.168.1.91- 192.168.1.93],application,vibrational,51,,,51,x
924,962,1606665492119,1,-1,79,[192.168.1.91- 192.168.1.93],application,video,38,,38,,x
934,975,1606665492129,1,-1,80,[192.168.1.91- 192.168.1.93],application,vibrational,41,,,41,x
947,979,1606665492142,1,-1,81,[192.168.1.91- 192.168.1.93],application,video,32,,32,,x
965,984,1606665492160,1,-1,82,[192.168.1.91- 192.168.1.93],application,video,19,,19,,
974,994,1606665492169,1,-1,83,[192.168.1.91- 192.168.1.93],application,info,20,20,,,x
983,1008,1606665492178,1,-1,84,[192.168.1.91- 192.168.1.93],application,vibrational,25,,,25,x
998,1017,1606665492193,1,-1,85,[192.168.1.91- 192.168.1.93],application,vibrational,19,,,19,x
1013,1029,1606665492208,1,-1,86,[192.168.1.91- 192.168.1.93],application,info,16,16,,,x
1026,1047,1606665492221,1,-1,87,[192.168.1.91- 192.168.1.93],application,vibrational,21,,,21,x
1039,1059,1606665492234,1,-1,88,[192.168.1.91- 192.168.1.93],application,video,20,,20,,x
1053,1070,1606665492248,1,-1,89,[192.168.1.91- 192.168.1.93],application,vibrational,17,,,17,x
1066,1085,1606665492261,1,-1,90,[192.168.1.91- 192.168.1.93],application,vibrational,19,,,19,x
1076,1103,1606665492271,1,-1,91,[192.168.1.91- 192.168.1.93],application,info,27,27,,,x
1085,1114,1606665492280,1,-1,92,[192.168.1.91- 192.168.1.93],application,video,29,,29,,x
1097,1120,1606665492292,1,-1,93,[192.168.1.91- 192.168.1.93],application,video,23,,23,,x
1117,1140,1606665492312,1,-1,95,[192.168.1.91- 192.168.1.93],application,vibrational,23,,,23,x
1127,1146,1606665492322,1,-1,96,[192.168.1.91- 192.168.1.93],application,info,19,19,,,x
1106,1151,1606665492301,1,-1,94,[192.168.1.91- 192.168.1.93],application,info,45,45,,,x
1135,1155,1606665492330,1,-1,97,[192.168.1.91- 192.168.1.93],application,vibrational,20,,,20,
1144,1165,1606665492339,1,-1,98,[192.168.1.91- 192.168.1.93],application,video,21,,21,,x
1157,1174,1606665492352,1,-1,99,[192.168.1.91- 192.168.1.93],application,video,17,,17,,
1169,1185,1606665492364,1,-1,100,[192.168.1.91- 192.168.1.93],application,video,16,,16,,x
1178,1198,1606665492373,1,-1,101,[192.168.1.91- 192.168.1.93],application,vibrational,20,,,20,x
1187,1211,1606665492382,1,-1,102,[192.168.1.91- 192.168.1.93],application,info,24,24,,,x
1199,1248,1606665492394,1,-1,103,[192.168.1.91- 192.168.1.93],application,vibrational,49,,,49,x
1210,1251,1606665492405,1,-1,104,[192.168.1.91- 192.168.1.93],application,vibrational,41,,,41,x
1219,1253,1606665492414,1,-1,105,[192.168.1.91- 192.168.1.93],application,vibrational,34,,,34,x
1228,1256,1606665492423,1,-1,106,[192.168.1.91- 192.168.1.93],application,video,28,,28,,x
1248,1269,1606665492443,1,-1,107,[192.168.1.91- 192.168.1.93],application,vibrational,21,,,21,
1258,1272,1606665492453,1,-1,108,[192.168.1.91- 192.168.1.93],application,video,14,,14,,x
1271,1286,1606665492466,1,-1,109,[192.168.1.91- 192.168.1.93],application,vibrational,15,,,15,x
1279,1296,1606665492474,1,-1,110,[192.168.1.91- 192.168.1.93],application,info,17,17,,,x
1290,1309,1606665492485,1,-1,111,[192.168.1.91- 192.168.1.93],application,vibrational,19,,,19,x
